id,user_id,song_id,text,inserted_at,updated_at
9f509ad1-e61d-42c4-9d08-776c58e1a794,7793d29b-5f59-4ec1-bffa-5af22f5ed973,5c18b75c-829f-43c8-90a3-f3e79fa13c9c,"Needs a little editing, but loving this song. :-)",2017-05-13 17:05:59.885461,2017-05-13 17:05:59.885461
3650664d-4c18-4b24-af0c-a64cce4a7e39,a29dde91-29c7-4fa8-94e8-65a58e38d842,9e34ea9c-370e-47a8-8fd8-8a12b694b899,This is an 11,2016-11-09 15:36:40.737571,2016-11-09 15:36:40.737571
65e544c7-77a3-40ae-be0a-f6de4d5e2112,36e7e58e-6049-4d2d-991e-fa803df9fb71,97aa4c3e-7cf4-4a86-9207-a791b1ff0498,https://www.youtube.com/watch?v=IXQmrdplLJQ,2016-11-23 14:27:45.069744,2016-11-23 14:27:45.069744
749276f3-40cf-4035-a0fc-4402b74492cf,36e7e58e-6049-4d2d-991e-fa803df9fb71,65038591-c12b-474f-b62e-76eb3e0b0ad5,https://www.youtube.com/watch?v=Pm9l4QEaCNU,2016-11-23 14:29:23.220815,2016-11-23 14:29:23.220815
a1e934cc-1fd1-4a0b-bcbd-09aa7e58b7ab,232c9847-ecdb-4cf0-8e55-3ee5ba44f1d9,49243f75-bf3f-4907-be6e-67ac2b9b9794,"Here is a clean version in case anyone is interested. https://www.youtube.com/watch?v=GWkhqrwUnag",2017-05-22 19:49:42.566743,2017-05-22 19:49:42.566743
ac9a61aa-3002-4002-a242-f0c3ac19f479,490c3d1b-a502-4224-b11e-4eb8f4ea0d18,6221b40b-3ca2-4ace-8fde-0fe2e8d9accc,"Yikes!",2017-01-26 21:08:04.072108,2017-01-26 21:08:04.072108
ebfbca22-af61-4f73-8a71-dee3e672244c,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,8d05cddf-354a-4060-ad56-0e3744d6a1fa,"Great song Toni, thanks !",2017-02-06 15:39:58.729784,2017-02-06 15:39:58.729784
0753ecc3-e02c-4644-8364-7661e4f02c95,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,c41b56aa-954a-42ad-b434-dc558245193a,Not new to me Toni ;-),2017-02-06 16:50:47.192764,2017-02-06 16:50:47.192764
ef1dc13d-c23c-4c07-8893-f147993e506b,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,e7c5f434-be57-46d6-9aec-27c742f31164,Not new to me Ruby ;-),2017-02-06 16:51:12.812513,2017-02-06 16:51:12.812513
09e0ee40-0eb0-4575-80f2-c3c4d4543fcc,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,ec615d23-14d7-4bb0-bf53-328f67ef35e6,"Foor tested yesterday, good responce !",2017-02-06 16:52:17.155355,2017-02-06 16:52:17.155355
