id,artist,title,inserted_at,updated_at,song_url,cover_public_id,cover_version,bpm,user_id,genre
a2961174-6015-453a-a444-a4b9249b262c,MR. PROBZ,Till You're Loved,2017-02-20 23:48:46.806229,2017-02-20 23:48:46.806229,https://youtu.be/_2C1pjQq4VM,covers/wd395gcoa4vuin8c2mp3,1487634491,102,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rnb
7e443e5b-1e54-4e91-ba69-5690477b6733,JOHN LINDAHL,Gimme One Chance,2016-11-03 18:44:00,2016-11-05 15:41:36.119174,https://www.youtube.com/watch?v=dKkv_gkuIXo,covers/ukgvteghl3isdhtbstvg,1478360469,97,a29dde91-29c7-4fa8-94e8-65a58e38d842,rnb
22416a06-fc57-47b5-9004-695927e33279,BUSTED,On What You're On,2016-10-01 07:16:00,2016-11-26 10:55:17.914777,https://www.youtube.com/watch?v=7YQ_UY11uMw,covers/jjepxk1b4fimcjqavvy9,1480157669,114,3ae49a0a-e95d-45f9-9135-7033326facb7,pop
a2331a03-a344-452c-a0b3-9a4b854fa1b7,KALEO,Way Down We Go,2016-10-01 15:19:00,2016-11-26 10:57:16.002858,https://www.youtube.com/watch?v=0-7IHOXkiV8,covers/egvgplyorffx6nizjcqi,1480157831,83,c1f74383-e130-4b0a-82c0-599534035540,rock
00d68017-40c7-4005-b1c0-203eee3fb641,MØ ,Drum,2016-10-07 17:07:00,2016-11-26 11:27:45.133698,https://www.youtube.com/watch?v=37qvCrbilUk,covers/xybsvajys0qpfux1r993,1475860030,100,6a449bc6-0c12-4d33-99e3-f657504732d2,pop
f8ec5c4b-785b-4ec7-9136-ad401b0ff5f7,JAHKOY,F N Sexy,2016-11-23 08:14:00,2016-12-22 08:19:14.485091,https://youtu.be/nNIKJysL3-k,covers/uesd8ycdcqebiz1gbfy8,1482394529,84,f7feec23-91f0-454d-bd09-16cbe3809a4d,rnb
c2f3a33e-699a-42aa-b59c-d7d01aaf1eac,ELDERBROOK,Difficult to love,2017-05-03 21:00:00,2017-05-06 09:40:27.662834,https://www.youtube.com/watch?v=3mYV2AtuTkk,covers/gvoerndfnmtomkdakmmj,1494063624,116,e3a57bbb-d4b4-44dc-8fc8-5dc593fa4d0c,dance
03bfc5a7-1827-4a62-bab3-ceabed417366,AUSTIN MAHONE,Except For Us,2017-01-13 10:39:00,2017-01-16 05:32:51.369929,https://www.youtube.com/watch?v=BX0IiJB5TJw,covers/yqesnpwhsu87a1l619ey,1484544747,106,c1f74383-e130-4b0a-82c0-599534035540,pop
8a81bb67-334a-4de6-a40f-143f3ba55646,CRIS CAB,Turn Out the Light (Feat. J. Balvin),2016-11-05 15:40:00,2017-03-12 13:50:37.702203,https://youtu.be/t5HMQ-fCzhA,covers/i17ij4lpier1q5qgtfus,1478360371,126,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rock
f7dcf94f-ca57-4762-85cc-87d9946a7de8,Luke Combs,Hurricane,2017-05-17 17:18:46.262894,2017-05-17 17:18:46.262894,https://youtu.be/BixwVsiDdZM,wsdjs/missing_cover,1,0,744a36a0-2f3e-4594-aeee-eba72c9193f4,country
